# timestamp scenario_index distance orientation rssi battery heart_rate
1459507834965 numberOfScenarios: 210
# Scenario 1 = 0.1m, -90.0°
1459507909926 2 0.1 -60.0 -43 0 110
1459507910173 2 0.1 -60.0 -43 0 110
1459507910420 2 0.1 -60.0 -43 0 110
1459507910666 2 0.1 -60.0 -43 0 110
1459507910918 2 0.1 -60.0 -43 0 110
1459507911159 2 0.1 -60.0 -43 0 110
1459507911406 2 0.1 -60.0 -43 0 110
1459507911653 2 0.1 -60.0 -43 0 110
1459507911897 2 0.1 -60.0 -43 0 110
1459507912145 2 0.1 -60.0 -43 0 110
1459507912389 2 0.1 -60.0 -43 0 110
1459507912636 2 0.1 -60.0 -43 0 110
1459507912885 2 0.1 -60.0 -43 0 110
1459507913130 2 0.1 -60.0 -43 0 110
1459507913374 2 0.1 -60.0 -43 0 110
1459507913621 2 0.1 -60.0 -43 0 110
1459507913867 2 0.1 -60.0 -43 0 110
1459507914115 2 0.1 -60.0 -43 0 110
1459507914359 2 0.1 -60.0 -43 0 110
1459507914606 2 0.1 -60.0 -43 0 110
1459507914853 2 0.1 -60.0 -43 0 110
1459507915099 2 0.1 -60.0 -43 0 110
1459507915345 2 0.1 -60.0 -43 0 110
1459507915593 2 0.1 -60.0 -43 0 110
1459507915848 2 0.1 -60.0 -43 0 110
1459507916085 2 0.1 -60.0 -43 0 110
1459507916330 2 0.1 -60.0 -43 0 110
1459507916576 2 0.1 -60.0 -43 0 110
1459507916823 2 0.1 -60.0 -44 0 110
1459507917071 2 0.1 -60.0 -43 0 110
1459507917316 2 0.1 -60.0 -43 0 110
1459507917565 2 0.1 -60.0 -43 0 110
1459507917809 2 0.1 -60.0 -43 0 110
1459507918055 2 0.1 -60.0 -43 0 110
1459507918301 2 0.1 -60.0 -43 0 110
1459507918793 2 0.1 -60.0 -43 0 110
1459507919040 2 0.1 -60.0 -43 0 110
1459507919287 2 0.1 -60.0 -43 0 110
1459507919531 2 0.1 -60.0 -42 0 110
1459507919778 2 0.1 -60.0 -43 0 110
# Scenario 3 = 0.1m, -30.0°
1459507957314 3 0.1 -30.0 -46 0 96
1459507957561 3 0.1 -30.0 -46 0 96
1459507957814 3 0.1 -30.0 -47 0 96
1459507958057 3 0.1 -30.0 -45 0 96
1459507958306 3 0.1 -30.0 -46 0 96
1459507958546 3 0.1 -30.0 -46 0 96
1459507958794 3 0.1 -30.0 -46 0 96
1459507959039 3 0.1 -30.0 -47 0 96
1459507959287 3 0.1 -30.0 -46 0 96
1459507959531 3 0.1 -30.0 -46 0 96
1459507959777 3 0.1 -30.0 -46 0 96
1459507960022 3 0.1 -30.0 -46 0 96
1459507960269 3 0.1 -30.0 -47 0 96
1459507960516 3 0.1 -30.0 -46 0 96
1459507960764 3 0.1 -30.0 -46 0 96
1459507961008 3 0.1 -30.0 -46 0 96
1459507961255 3 0.1 -30.0 -46 0 96
1459507961503 3 0.1 -30.0 -46 0 96
1459507961750 3 0.1 -30.0 -46 0 96
1459507961993 3 0.1 -30.0 -47 0 96
1459507962241 3 0.1 -30.0 -47 0 96
1459507962487 3 0.1 -30.0 -46 0 96
1459507962735 3 0.1 -30.0 -46 0 96
1459507962979 3 0.1 -30.0 -45 0 96
1459507963224 3 0.1 -30.0 -47 0 96
1459507963472 3 0.1 -30.0 -46 0 96
1459507963717 3 0.1 -30.0 -45 0 96
1459507963968 3 0.1 -30.0 -46 0 96
1459507964210 3 0.1 -30.0 -46 0 96
1459507964456 3 0.1 -30.0 -46 0 96
1459507964704 3 0.1 -30.0 -45 0 96
1459507965201 3 0.1 -30.0 -45 0 96
1459507965446 3 0.1 -30.0 -46 0 96
1459507965692 3 0.1 -30.0 -46 0 96
1459507965937 3 0.1 -30.0 -46 0 96
1459507966182 3 0.1 -30.0 -47 0 96
1459507966426 3 0.1 -30.0 -46 0 96
1459507966674 3 0.1 -30.0 -45 0 96
1459507966922 3 0.1 -30.0 -46 0 96
1459507967167 3 0.1 -30.0 -46 0 96
1459507967414 3 0.1 -30.0 -47 0 96
1459507967657 3 0.1 -30.0 -47 0 96
1459507968152 3 0.1 -30.0 -46 0 96
1459507968403 3 0.1 -30.0 -46 0 96
1459507968890 3 0.1 -30.0 -46 0 96
1459507969137 3 0.1 -30.0 -46 0 96
1459507969383 3 0.1 -30.0 -47 0 96
1459507969630 3 0.1 -30.0 -46 0 96
1459507969876 3 0.1 -30.0 -46 0 96
1459507970122 3 0.1 -30.0 -46 0 96
1459507970367 3 0.1 -30.0 -46 0 96
1459507970614 3 0.1 -30.0 -46 0 96
1459507971238 3 0.1 -30.0 -46 0 96
1459507971244 3 0.1 -30.0 -46 0 96
1459507971352 3 0.1 -30.0 -46 0 96
1459507971598 3 0.1 -30.0 -46 0 96
1459507971846 3 0.1 -30.0 -46 0 96
1459507972092 3 0.1 -30.0 -46 0 96
1459507972339 3 0.1 -30.0 -47 0 96
1459507972583 3 0.1 -30.0 -46 0 96
1459507972830 3 0.1 -30.0 -45 0 96
1459507973076 3 0.1 -30.0 -47 0 96
1459507973324 3 0.1 -30.0 -46 0 96
1459507973572 3 0.1 -30.0 -47 0 96
1459507973819 3 0.1 -30.0 -46 0 96
1459507974064 3 0.1 -30.0 -47 0 96
1459507974311 3 0.1 -30.0 -47 0 96
1459507974557 3 0.1 -30.0 -46 0 96
1459507974801 3 0.1 -30.0 -47 0 96
1459507975046 3 0.1 -30.0 -47 0 96
1459507975538 3 0.1 -30.0 -46 0 96
1459507975786 3 0.1 -30.0 -47 0 96
1459507976031 3 0.1 -30.0 -47 0 96
1459507976277 3 0.1 -30.0 -47 0 96
1459507976524 3 0.1 -30.0 -46 0 96
1459507976772 3 0.1 -30.0 -47 0 96
